WTeam,LTeam,Prob,Games,Incorrect
CS Fullerton,NC State,26.82%,,
CS Fullerton,Nevada,20.77%,,
CS Fullerton,New Mexico St,37.71%,,
CS Fullerton,North Carolina,10.20%,,
CS Fullerton,Ohio St,15.80%,,
CS Fullerton,Oklahoma,30.22%,,
CS Fullerton,Penn,54.17%,,
CS Fullerton,Providence,30.22%,,
Auburn,Col Charleston,66.14%,M,
CS Fullerton,Radford,54.17%,,
CS Fullerton,Rhode Island,20.77%,,
CS Fullerton,S Dakota St,37.71%,,
CS Fullerton,San Diego St,33.86%,,
CS Fullerton,Seton Hall,23.66%,,
CS Fullerton,SF Austin,45.83%,,
CS Fullerton,St Bonaventure,33.86%,,
CS Fullerton,Syracuse,33.86%,,
CS Fullerton,TCU,18.15%,,
CS Fullerton,Tennessee,11.84%,,
CS Fullerton,Texas,30.22%,,
CS Fullerton,Texas A&M,20.77%,,
CS Fullerton,Texas Tech,11.84%,,
CS Fullerton,TX Southern,54.17%,,
CS Fullerton,UCLA,23.66%,,
CS Fullerton,UMBC,54.17%,,
CS Fullerton,UNC Greensboro,41.71%,,
CS Fullerton,Villanova,8.76%,,
CS Fullerton,Virginia,8.76%,,
CS Fullerton,Virginia Tech,23.66%,,
CS Fullerton,West Virginia,15.80%,,
CS Fullerton,Wichita St,13.70%,,
CS Fullerton,Wright St,45.83%,,
CS Fullerton,Xavier,8.76%,,
Davidson,Duke,15.80%,,
Davidson,Florida,26.82%,,
Davidson,Florida St,37.71%,,
Davidson,Georgia St,62.29%,,
Davidson,Gonzaga,20.77%,,
Davidson,Houston,26.82%,,
Davidson,Iona,62.29%,,
Davidson,Kansas,13.70%,,
Davidson,Kansas St,37.71%,,
Bucknell,Michigan St,13.70%,M,
Davidson,Lipscomb,62.29%,,
Davidson,Long Island,33.86%,,
Davidson,Loyola-Chicago,45.83%,,
Davidson,Marshall,54.17%,,
Davidson,Miami FL,26.82%,,
Davidson,Michigan,18.15%,,
Davidson,Michigan St,18.15%,,
Davidson,Missouri,33.86%,,
Davidson,Montana,58.29%,,
Davidson,Murray St,50.00%,,
Davidson,NC Central,33.86%,,
Davidson,NC State,37.71%,,
Davidson,Nevada,30.22%,,
Davidson,New Mexico St,50.00%,,
Davidson,North Carolina,15.80%,,
Davidson,Ohio St,23.66%,,
Davidson,Oklahoma,41.71%,,
Davidson,Penn,66.14%,,
Davidson,Providence,41.71%,,
Davidson,Purdue,15.80%,,
Davidson,Radford,66.14%,,
Davidson,Rhode Island,30.22%,,
Davidson,S Dakota St,50.00%,,
Davidson,San Diego St,45.83%,,
Davidson,Seton Hall,33.86%,,
Davidson,SF Austin,58.29%,,
Davidson,St Bonaventure,45.83%,,
Davidson,Syracuse,45.83%,,
Davidson,TCU,26.82%,,
Davidson,Tennessee,18.15%,,
Davidson,Texas,41.71%,,
Davidson,Texas A&M,30.22%,,
Davidson,Texas Tech,18.15%,,
Davidson,TX Southern,66.14%,,
Davidson,UCLA,33.86%,,
Davidson,UMBC,66.14%,,
Davidson,UNC Greensboro,54.17%,,
Davidson,Villanova,13.70%,,
Davidson,Virginia,13.70%,,
Davidson,Virginia Tech,33.86%,,
Davidson,West Virginia,23.66%,,
Davidson,Wichita St,20.77%,,
Davidson,Wright St,58.29%,,
Davidson,Xavier,13.70%,,
Duke,Florida,66.14%,,
Duke,Florida St,76.34%,,
Duke,Georgia St,89.80%,,
Duke,Gonzaga,58.29%,,
Duke,Houston,66.14%,,
Clemson,New Mexico St,76.34%,M,
Duke,Kansas,45.83%,,
Duke,Kansas St,76.34%,,
Duke,Kentucky,62.29%,,
Duke,Lipscomb,89.80%,,
Duke,Long Island,73.18%,,
Duke,Loyola-Chicago,81.85%,,
Duke,Marshall,86.30%,,
Duke,Miami FL,66.14%,,
Duke,Michigan,54.17%,,
Duke,Michigan St,54.17%,,
Duke,Missouri,73.18%,,
Duke,Montana,88.16%,,
Duke,Murray St,84.20%,,
Duke,NC Central,73.18%,,
Duke,NC State,76.34%,,
Duke,Nevada,69.78%,,
Duke,New Mexico St,84.20%,,
Duke,North Carolina,50.00%,,
Duke,Ohio St,62.29%,,
Duke,Oklahoma,79.23%,,
Duke,Penn,91.24%,,
Duke,Providence,79.23%,,
Duke,Purdue,50.00%,,
Duke,Radford,91.24%,,
Duke,Rhode Island,69.78%,,
Duke,S Dakota St,84.20%,,
Duke,San Diego St,81.85%,,
Duke,Seton Hall,73.18%,,
Duke,SF Austin,88.16%,,
Duke,St Bonaventure,81.85%,,
Duke,Syracuse,81.85%,,
Duke,TCU,66.14%,,
Duke,Tennessee,54.17%,,
Duke,Texas,79.23%,,
Duke,Texas A&M,69.78%,,
Duke,Texas Tech,54.17%,,
Duke,TX Southern,91.24%,,
Duke,UCLA,73.18%,,
Duke,UMBC,91.24%,,
Duke,UNC Greensboro,86.30%,,
Duke,Villanova,45.83%,,
Duke,Virginia,45.83%,,
Duke,Virginia Tech,73.18%,,
Duke,West Virginia,62.29%,,
Duke,Wichita St,58.29%,,
Duke,Wright St,88.16%,,
Duke,Xavier,45.83%,,
Florida,Florida St,62.29%,,
Florida,Georgia St,81.85%,,
Florida,Gonzaga,41.71%,,
Florida,Houston,50.00%,,
Florida,Iona,81.85%,,
Florida,Kansas,30.22%,,
Florida,Kansas St,62.29%,,
Florida,Kentucky,45.83%,,
Florida,Lipscomb,81.85%,,
Florida,Long Island,58.29%,,
Florida,Loyola-Chicago,69.78%,,
Florida,Marshall,76.34%,,
Florida,Miami FL,50.00%,,
Florida,Michigan,37.71%,,
Florida,Michigan St,37.71%,,
Florida,Missouri,58.29%,,
Florida,Montana,79.23%,,
Florida,Murray St,73.18%,,
Florida,NC Central,58.29%,,
Florida,NC State,62.29%,,
Florida,Nevada,54.17%,,
Florida,New Mexico St,73.18%,,
Florida,North Carolina,33.86%,,
Florida,Ohio St,45.83%,,
Florida,Oklahoma,66.14%,,
Florida,Penn,84.20%,,
Florida,Providence,66.14%,,
Florida,Purdue,33.86%,,
Florida,Radford,84.20%,,
Florida,Rhode Island,54.17%,,
Florida,S Dakota St,73.18%,,
Florida,San Diego St,69.78%,,
Florida,Seton Hall,58.29%,,
Florida,SF Austin,79.23%,,
Duke,Iona,89.80%,M,
Florida,Syracuse,69.78%,,
Florida,TCU,50.00%,,
Florida,Tennessee,37.71%,,
Florida,Texas,66.14%,,
Florida,Texas A&M,54.17%,,
Florida,Texas Tech,37.71%,,
Florida,TX Southern,84.20%,,
Florida,UCLA,58.29%,,
Florida,UMBC,84.20%,,
Florida,UNC Greensboro,76.34%,,
Florida,Villanova,30.22%,,
Florida,Virginia,30.22%,,
Florida,Virginia Tech,58.29%,,
Florida,West Virginia,45.83%,,
Florida,Wichita St,41.71%,,
Florida,Wright St,79.23%,,
Florida,Xavier,30.22%,,
Florida St,Georgia St,73.18%,,
Florida St,Gonzaga,30.22%,,
Florida St,Houston,37.71%,,
Florida St,Iona,73.18%,,
Florida St,Kansas,20.77%,,
Florida St,Kansas St,50.00%,,
Florida St,Kentucky,33.86%,,
Florida St,Lipscomb,73.18%,,
Florida St,Long Island,45.83%,,
Florida St,Loyola-Chicago,58.29%,,
Florida St,Marshall,66.14%,,
Florida St,Miami FL,37.71%,,
Florida St,Michigan,26.82%,,
Florida St,Michigan St,26.82%,,
Kansas,Penn,92.48%,M,
Florida St,Montana,69.78%,,
Florida St,Murray St,62.29%,,
Florida St,NC Central,45.83%,,
Florida St,NC State,50.00%,,
Florida St,Nevada,41.71%,,
Florida St,New Mexico St,62.29%,,
Florida St,North Carolina,23.66%,,
Florida St,Ohio St,33.86%,,
Florida St,Oklahoma,54.17%,,
Florida St,Penn,76.34%,,
Florida St,Providence,54.17%,,
Florida St,Purdue,23.66%,,
Florida St,Radford,76.34%,,
Florida St,Rhode Island,41.71%,,
Florida St,S Dakota St,62.29%,,
Florida St,San Diego St,58.29%,,
Florida St,Seton Hall,45.83%,,
Florida St,SF Austin,69.78%,,
Florida St,St Bonaventure,58.29%,,
Florida St,Syracuse,58.29%,,
Florida St,TCU,37.71%,,
Florida St,Tennessee,26.82%,,
Florida St,Texas,54.17%,,
Florida St,Texas A&M,41.71%,,
Florida St,Texas Tech,26.82%,,
Florida St,TX Southern,76.34%,,
Florida St,UCLA,45.83%,,
Florida St,UMBC,76.34%,,
Florida St,UNC Greensboro,66.14%,,
Florida St,Villanova,20.77%,,
Florida St,Virginia,20.77%,,
Florida St,Virginia Tech,45.83%,,
Florida St,West Virginia,33.86%,,
Florida St,Wichita St,30.22%,,
Florida St,Wright St,69.78%,,
Florida St,Xavier,20.77%,,
Georgia St,Gonzaga,13.70%,,
Georgia St,Houston,18.15%,,
Georgia St,Iona,50.00%,,
Georgia St,Kansas,8.76%,,
Georgia St,Kansas St,26.82%,,
Georgia St,Kentucky,15.80%,,
Georgia St,Lipscomb,50.00%,,
Georgia St,Long Island,23.66%,,
Georgia St,Loyola-Chicago,33.86%,,
Georgia St,Marshall,41.71%,,
Georgia St,Miami FL,18.15%,,
Georgia St,Michigan,11.84%,,
Georgia St,Michigan St,11.84%,,
Georgia St,Missouri,23.66%,,
Georgia St,Montana,45.83%,,
Georgia St,Murray St,37.71%,,
Georgia St,NC Central,23.66%,,
Georgia St,NC State,26.82%,,
Georgia St,Nevada,20.77%,,
Georgia St,New Mexico St,37.71%,,
Georgia St,North Carolina,10.20%,,
Georgia St,Ohio St,15.80%,,
Georgia St,Oklahoma,30.22%,,
Georgia St,Penn,54.17%,,
Georgia St,Providence,30.22%,,
Georgia St,Purdue,10.20%,,
Georgia St,Radford,54.17%,,
Georgia St,Rhode Island,20.77%,,
Georgia St,S Dakota St,37.71%,,
Georgia St,San Diego St,33.86%,,
Georgia St,Seton Hall,23.66%,,
Georgia St,SF Austin,45.83%,,
Georgia St,St Bonaventure,33.86%,,
Georgia St,Syracuse,33.86%,,
Georgia St,TCU,18.15%,,
Georgia St,Tennessee,11.84%,,
Georgia St,Texas,30.22%,,
Georgia St,Texas A&M,20.77%,,
Georgia St,Texas Tech,11.84%,,
Georgia St,TX Southern,54.17%,,
Georgia St,UCLA,23.66%,,
Georgia St,UMBC,54.17%,,
Georgia St,UNC Greensboro,41.71%,,
Georgia St,Villanova,8.76%,,
Georgia St,Virginia,8.76%,,
Georgia St,Virginia Tech,23.66%,,
Georgia St,West Virginia,15.80%,,
Georgia St,Wichita St,13.70%,,
Georgia St,Wright St,45.83%,,
Georgia St,Xavier,8.76%,,
Gonzaga,Houston,58.29%,,
Gonzaga,Iona,86.30%,,
Gonzaga,Kansas,37.71%,,
Gonzaga,Kansas St,69.78%,,
Gonzaga,Kentucky,54.17%,,
Gonzaga,Lipscomb,86.30%,,
Gonzaga,Long Island,66.14%,,
Gonzaga,Loyola-Chicago,76.34%,,
Gonzaga,Marshall,81.85%,,
Gonzaga,Miami FL,58.29%,,
Gonzaga,Michigan,45.83%,,
Gonzaga,Michigan St,45.83%,,
Gonzaga,Missouri,66.14%,,
Gonzaga,Montana,84.20%,,
Gonzaga,Murray St,79.23%,,
Gonzaga,NC Central,66.14%,,
Gonzaga,NC State,69.78%,,
Gonzaga,Nevada,62.29%,,
Gonzaga,New Mexico St,79.23%,,
Gonzaga,North Carolina,41.71%,,
Gonzaga,Ohio St,54.17%,,
Gonzaga,Oklahoma,73.18%,,
Gonzaga,Penn,88.16%,,
Gonzaga,Providence,73.18%,,
Gonzaga,Purdue,41.71%,,
Gonzaga,Radford,88.16%,,
Gonzaga,Rhode Island,62.29%,,
Gonzaga,S Dakota St,79.23%,,
Gonzaga,San Diego St,76.34%,,
Gonzaga,Seton Hall,66.14%,,
Gonzaga,SF Austin,84.20%,,
Gonzaga,St Bonaventure,76.34%,,
Gonzaga,Syracuse,76.34%,,
Gonzaga,TCU,58.29%,,
Gonzaga,Tennessee,45.83%,,
Gonzaga,Texas,73.18%,,
Gonzaga,Texas A&M,62.29%,,
Gonzaga,Texas Tech,45.83%,,
Gonzaga,TX Southern,88.16%,,
Gonzaga,UCLA,66.14%,,
Gonzaga,UMBC,88.16%,,
NC State,Seton Hall,45.83%,M,
Gonzaga,Villanova,37.71%,,
Gonzaga,Virginia,37.71%,,
Gonzaga,Virginia Tech,66.14%,,
Gonzaga,West Virginia,54.17%,,
Gonzaga,Wichita St,50.00%,,
Gonzaga,Wright St,84.20%,,
Gonzaga,Xavier,37.71%,,
Houston,Iona,81.85%,,
Houston,Kansas,30.22%,,
Houston,Kansas St,62.29%,,
Houston,Kentucky,45.83%,,
Houston,Lipscomb,81.85%,,
Houston,Long Island,58.29%,,
Houston,Loyola-Chicago,69.78%,,
Houston,Marshall,76.34%,,
Houston,Miami FL,50.00%,,
Houston,Michigan,37.71%,,
Houston,Michigan St,37.71%,,
Houston,Missouri,58.29%,,
Houston,Montana,79.23%,,
Houston,Murray St,73.18%,,
Houston,NC Central,58.29%,,
Houston,NC State,62.29%,,
Houston,Nevada,54.17%,,
Houston,New Mexico St,73.18%,,
Houston,North Carolina,33.86%,,
Houston,Ohio St,45.83%,,
Houston,Oklahoma,66.14%,,
Houston,Penn,84.20%,,
Houston,Providence,66.14%,,
Houston,Purdue,33.86%,,
Houston,Radford,84.20%,,
Houston,Rhode Island,54.17%,,
Houston,S Dakota St,73.18%,,
Oklahoma,Rhode Island,37.71%,M,
Houston,Seton Hall,58.29%,,
Houston,SF Austin,79.23%,,
Houston,St Bonaventure,69.78%,,
Houston,Syracuse,69.78%,,
Houston,TCU,50.00%,,
Houston,Tennessee,37.71%,,
Houston,Texas,66.14%,,
Houston,Texas A&M,54.17%,,
Houston,Texas Tech,37.71%,,
Houston,TX Southern,84.20%,,
Houston,UCLA,58.29%,,
Houston,UMBC,84.20%,,
Houston,UNC Greensboro,76.34%,,
Houston,Villanova,30.22%,,
Houston,Virginia,30.22%,,
Houston,Virginia Tech,58.29%,,
Houston,West Virginia,45.83%,,
Houston,Wichita St,41.71%,,
Houston,Wright St,79.23%,,
Houston,Xavier,30.22%,,
Iona,Kansas,8.76%,,
Iona,Kansas St,26.82%,,
Iona,Kentucky,15.80%,,
Iona,Lipscomb,50.00%,,
Iona,Long Island,23.66%,,
Iona,Loyola-Chicago,33.86%,,
Iona,Marshall,41.71%,,
Iona,Miami FL,18.15%,,
Iona,Michigan,11.84%,,
Iona,Michigan St,11.84%,,
Iona,Missouri,23.66%,,
Iona,Montana,45.83%,,
Iona,Murray St,37.71%,,
Iona,NC Central,23.66%,,
Iona,NC State,26.82%,,
Iona,Nevada,20.77%,,
Iona,New Mexico St,37.71%,,
Iona,North Carolina,10.20%,,
Iona,Ohio St,15.80%,,
Iona,Oklahoma,30.22%,,
Iona,Penn,54.17%,,
Iona,Providence,30.22%,,
Iona,Purdue,10.20%,,
Iona,Radford,54.17%,,
Iona,Rhode Island,20.77%,,
Iona,S Dakota St,37.71%,,
Iona,San Diego St,33.86%,,
Iona,Seton Hall,23.66%,,
Iona,SF Austin,45.83%,,
Iona,St Bonaventure,33.86%,,
Iona,Syracuse,33.86%,,
Iona,TCU,18.15%,,
Iona,Tennessee,11.84%,,
Iona,Texas,30.22%,,
Iona,Texas A&M,20.77%,,
Iona,Texas Tech,11.84%,,
Iona,TX Southern,54.17%,,
Iona,UCLA,23.66%,,
Iona,UMBC,54.17%,,
Iona,UNC Greensboro,41.71%,,
Iona,Villanova,8.76%,,
Iona,Virginia,8.76%,,
Iona,Virginia Tech,23.66%,,
Iona,West Virginia,15.80%,,
Iona,Wichita St,13.70%,,
Iona,Wright St,45.83%,,
Iona,Xavier,8.76%,,
Kansas,Kansas St,79.23%,,
Kansas,Kentucky,66.14%,,
Kansas,Lipscomb,91.24%,,
Kansas,Long Island,76.34%,,
Kansas,Loyola-Chicago,84.20%,,
Kansas,Marshall,88.16%,,
Kansas,Miami FL,69.78%,,
Kansas,Michigan,58.29%,,
Kansas,Michigan St,58.29%,,
Kansas,Missouri,76.34%,,
Kansas,Montana,89.80%,,
Kansas,Murray St,86.30%,,
Kansas,NC Central,76.34%,,
Kansas,NC State,79.23%,,
Kansas,Nevada,73.18%,,
Kansas,New Mexico St,86.30%,,
Kansas,North Carolina,54.17%,,
Kansas,Ohio St,66.14%,,
Kansas,Oklahoma,81.85%,,
Syracuse,TCU,30.22%,M,
Kansas,Providence,81.85%,,
Kansas,Purdue,54.17%,,
Kansas,Radford,92.48%,,
Kansas,Rhode Island,73.18%,,
Kansas,S Dakota St,86.30%,,
Kansas,San Diego St,84.20%,,
Kansas,Seton Hall,76.34%,,
Kansas,SF Austin,89.80%,,
Kansas,St Bonaventure,84.20%,,
Kansas,Syracuse,84.20%,,
Kansas,TCU,69.78%,,
Kansas,Tennessee,58.29%,,
Kansas,Texas,81.85%,,
Kansas,Texas A&M,73.18%,,
Kansas,Texas Tech,58.29%,,
Kansas,TX Southern,92.48%,,
Kansas,UCLA,76.34%,,
Kansas,UMBC,92.48%,,
Kansas,UNC Greensboro,88.16%,,
Kansas,Villanova,50.00%,,
Kansas,Virginia,50.00%,,
Kansas,Virginia Tech,76.34%,,
Kansas,West Virginia,66.14%,,
Kansas,Wichita St,62.29%,,
Kansas,Wright St,89.80%,,
Kansas,Xavier,50.00%,,
Kansas St,Kentucky,33.86%,,
Kansas St,Lipscomb,73.18%,,
Kansas St,Long Island,45.83%,,
Kansas St,Loyola-Chicago,58.29%,,
Kansas St,Marshall,66.14%,,
Kansas St,Miami FL,37.71%,,
Kansas St,Michigan,26.82%,,
Kansas St,Michigan St,26.82%,,
Kansas St,Missouri,45.83%,,
Kansas St,Montana,69.78%,,
Kansas St,Murray St,62.29%,,
Kansas St,NC Central,45.83%,,
Kansas St,NC State,50.00%,,
Kansas St,Nevada,41.71%,,
Kansas St,New Mexico St,62.29%,,
Kansas St,North Carolina,23.66%,,
Kansas St,Ohio St,33.86%,,
Kansas St,Oklahoma,54.17%,,
Kansas St,Penn,76.34%,,
Kansas St,Providence,54.17%,,
Kansas St,Purdue,23.66%,,
Kansas St,Radford,76.34%,,
Kansas St,Rhode Island,41.71%,,
Kansas St,S Dakota St,62.29%,,
Kansas St,San Diego St,58.29%,,
Kansas St,Seton Hall,45.83%,,
Kansas St,SF Austin,69.78%,,
Kansas St,St Bonaventure,58.29%,,
Kansas St,Syracuse,58.29%,,
Kansas St,TCU,37.71%,,
Kansas St,Tennessee,26.82%,,
Kansas St,Texas,54.17%,,
Kansas St,Texas A&M,41.71%,,
Kansas St,Texas Tech,26.82%,,
Kansas St,TX Southern,76.34%,,
Kansas St,UCLA,45.83%,,
Kansas St,UMBC,76.34%,,
Kansas St,UNC Greensboro,66.14%,,
Kansas St,Villanova,20.77%,,
Kansas St,Virginia,20.77%,,
Kansas St,Virginia Tech,45.83%,,
Kansas St,West Virginia,33.86%,,
Kansas St,Wichita St,30.22%,,
Kansas St,Wright St,69.78%,,
Kansas St,Xavier,20.77%,,
Kentucky,Lipscomb,84.20%,,
Kentucky,Long Island,62.29%,,
Kentucky,Loyola-Chicago,73.18%,,
Kentucky,Marshall,79.23%,,
Kentucky,Miami FL,54.17%,,
Kentucky,Michigan,41.71%,,
Kentucky,Michigan St,41.71%,,
Kentucky,Missouri,62.29%,,
Kentucky,Montana,81.85%,,
Kentucky,Murray St,76.34%,,
Kentucky,NC Central,62.29%,,
Kentucky,NC State,66.14%,,
Kentucky,Nevada,58.29%,,
Kentucky,New Mexico St,76.34%,,
Kentucky,North Carolina,37.71%,,
Kentucky,Ohio St,50.00%,,
Kentucky,Oklahoma,69.78%,,
Kentucky,Penn,86.30%,,
Kentucky,Providence,69.78%,,
Kentucky,Purdue,37.71%,,
Kentucky,Radford,86.30%,,
Kentucky,Rhode Island,58.29%,,
Kentucky,S Dakota St,76.34%,,
Kentucky,San Diego St,73.18%,,
Kentucky,Seton Hall,62.29%,,
Kentucky,SF Austin,81.85%,,
Kentucky,St Bonaventure,73.18%,,
Kentucky,Syracuse,73.18%,,
Kentucky,TCU,54.17%,,
Kentucky,Tennessee,41.71%,,
Kentucky,Texas,69.78%,,
Kentucky,Texas A&M,58.29%,,
Kentucky,Texas Tech,41.71%,,
Kentucky,TX Southern,86.30%,,
Kentucky,UCLA,62.29%,,
Kentucky,UMBC,86.30%,,
Kentucky,UNC Greensboro,79.23%,,
Kentucky,Villanova,33.86%,,
Kentucky,Virginia,33.86%,,
Kentucky,Virginia Tech,62.29%,,
Kentucky,West Virginia,50.00%,,
Kentucky,Wichita St,45.83%,,
Kentucky,Wright St,81.85%,,
Kentucky,Xavier,33.86%,,
Lipscomb,Long Island,23.66%,,
Lipscomb,Loyola-Chicago,33.86%,,
Lipscomb,Marshall,41.71%,,
Lipscomb,Miami FL,18.15%,,
Lipscomb,Michigan,11.84%,,
Lipscomb,Michigan St,11.84%,,
Lipscomb,Missouri,23.66%,,
Lipscomb,Montana,45.83%,,
Lipscomb,Murray St,37.71%,,
Lipscomb,NC Central,23.66%,,
Lipscomb,NC State,26.82%,,
Lipscomb,Nevada,20.77%,,
Lipscomb,New Mexico St,37.71%,,
Arizona,Buffalo,81.85%,S,X
Lipscomb,Ohio St,15.80%,,
Lipscomb,Oklahoma,30.22%,,
Lipscomb,Penn,54.17%,,
Lipscomb,Providence,30.22%,,
Lipscomb,Purdue,10.20%,,
Lipscomb,Radford,54.17%,,
Lipscomb,Rhode Island,20.77%,,
Lipscomb,S Dakota St,37.71%,,
Lipscomb,San Diego St,33.86%,,
Lipscomb,Seton Hall,23.66%,,
Lipscomb,SF Austin,45.83%,,
Lipscomb,St Bonaventure,33.86%,,
Lipscomb,Syracuse,33.86%,,
Lipscomb,TCU,18.15%,,
Lipscomb,Tennessee,11.84%,,
Lipscomb,Texas,30.22%,,
Lipscomb,Texas A&M,20.77%,,
Lipscomb,Texas Tech,11.84%,,
Lipscomb,TX Southern,54.17%,,
Lipscomb,UCLA,23.66%,,
Lipscomb,UMBC,54.17%,,
Lipscomb,UNC Greensboro,41.71%,,
Lipscomb,Villanova,8.76%,,
Lipscomb,Virginia,8.76%,,
Lipscomb,Virginia Tech,23.66%,,
Lipscomb,West Virginia,15.80%,,
Lipscomb,Wichita St,13.70%,,
Lipscomb,Wright St,45.83%,,
Lipscomb,Xavier,8.76%,,
Long Island,Loyola-Chicago,62.29%,,
Long Island,Marshall,69.78%,,
Long Island,Miami FL,41.71%,,
Long Island,Michigan,30.22%,,
Long Island,Michigan St,30.22%,,
Long Island,Missouri,50.00%,,
Long Island,Montana,73.18%,,
Long Island,Murray St,66.14%,,
Long Island,NC Central,50.00%,,
Long Island,NC State,54.17%,,
Long Island,Nevada,45.83%,,
Long Island,New Mexico St,66.14%,,
Long Island,North Carolina,26.82%,,
Long Island,Ohio St,37.71%,,
Long Island,Oklahoma,58.29%,,
Long Island,Penn,79.23%,,
Long Island,Providence,58.29%,,
Long Island,Purdue,26.82%,,
Long Island,Radford,79.23%,,
Long Island,Rhode Island,45.83%,,
Long Island,S Dakota St,66.14%,,
Long Island,San Diego St,62.29%,,
Long Island,Seton Hall,50.00%,,
Long Island,SF Austin,73.18%,,
Long Island,St Bonaventure,62.29%,,
Long Island,Syracuse,62.29%,,
Long Island,TCU,41.71%,,
Long Island,Tennessee,30.22%,,
Long Island,Texas,58.29%,,
Long Island,Texas A&M,45.83%,,
Long Island,Texas Tech,30.22%,,
Long Island,TX Southern,79.23%,,
Long Island,UCLA,50.00%,,
Long Island,UMBC,79.23%,,
Long Island,UNC Greensboro,69.78%,,
Long Island,Villanova,23.66%,,
Long Island,Virginia,23.66%,,
Long Island,Virginia Tech,50.00%,,
Long Island,West Virginia,37.71%,,
Long Island,Wichita St,33.86%,,
Long Island,Wright St,73.18%,,
Long Island,Xavier,23.66%,,
Loyola-Chicago,Marshall,58.29%,,
Cincinnati,Georgia St,89.80%,S,
Loyola-Chicago,Michigan,20.77%,,
Loyola-Chicago,Michigan St,20.77%,,
Loyola-Chicago,Missouri,37.71%,,
Loyola-Chicago,Montana,62.29%,,
Loyola-Chicago,Murray St,54.17%,,
Loyola-Chicago,NC Central,37.71%,,
Loyola-Chicago,NC State,41.71%,,
Loyola-Chicago,Nevada,33.86%,,
Loyola-Chicago,New Mexico St,54.17%,,
Loyola-Chicago,North Carolina,18.15%,,
Loyola-Chicago,Ohio St,26.82%,,
Loyola-Chicago,Oklahoma,45.83%,,
Loyola-Chicago,Penn,69.78%,,
Loyola-Chicago,Providence,45.83%,,
Loyola-Chicago,Purdue,18.15%,,
Loyola-Chicago,Radford,69.78%,,
Loyola-Chicago,Rhode Island,33.86%,,
Loyola-Chicago,S Dakota St,54.17%,,
Loyola-Chicago,San Diego St,50.00%,,
Loyola-Chicago,Seton Hall,37.71%,,
Loyola-Chicago,SF Austin,62.29%,,
Loyola-Chicago,St Bonaventure,50.00%,,
Loyola-Chicago,Syracuse,50.00%,,
Loyola-Chicago,TCU,30.22%,,
Loyola-Chicago,Tennessee,20.77%,,
Loyola-Chicago,Texas,45.83%,,
Loyola-Chicago,Texas A&M,33.86%,,
Loyola-Chicago,Texas Tech,20.77%,,
Loyola-Chicago,TX Southern,69.78%,,
Loyola-Chicago,UCLA,37.71%,,
Loyola-Chicago,UMBC,69.78%,,
Loyola-Chicago,UNC Greensboro,58.29%,,
Loyola-Chicago,Villanova,15.80%,,
Loyola-Chicago,Virginia,15.80%,,
Loyola-Chicago,Virginia Tech,37.71%,,
Loyola-Chicago,West Virginia,26.82%,,
Loyola-Chicago,Wichita St,23.66%,,
Loyola-Chicago,Wright St,62.29%,,
Loyola-Chicago,Xavier,15.80%,,
Marshall,Miami FL,23.66%,,
Marshall,Michigan,15.80%,,
Marshall,Michigan St,15.80%,,
Marshall,Missouri,30.22%,,
Marshall,Montana,54.17%,,
Marshall,Murray St,45.83%,,
Marshall,NC Central,30.22%,,
Marshall,NC State,33.86%,,
Marshall,Nevada,26.82%,,
Marshall,New Mexico St,45.83%,,
Marshall,North Carolina,13.70%,,
Marshall,Ohio St,20.77%,,
Marshall,Oklahoma,37.71%,,
Marshall,Penn,62.29%,,
Marshall,Providence,37.71%,,
Marshall,Purdue,13.70%,,
Marshall,Radford,62.29%,,
Marshall,Rhode Island,26.82%,,
Marshall,S Dakota St,45.83%,,
Marshall,San Diego St,41.71%,,
Marshall,Seton Hall,30.22%,,
Marshall,SF Austin,54.17%,,
Marshall,St Bonaventure,41.71%,,
Marshall,Syracuse,41.71%,,
Marshall,TCU,23.66%,,
Marshall,Tennessee,15.80%,,
Marshall,Texas,37.71%,,
Marshall,Texas A&M,26.82%,,
Marshall,Texas Tech,15.80%,,
Marshall,TX Southern,62.29%,,
Marshall,UCLA,30.22%,,
Marshall,UMBC,62.29%,,
Marshall,UNC Greensboro,50.00%,,
Marshall,Villanova,11.84%,,
Marshall,Virginia,11.84%,,
Marshall,Virginia Tech,30.22%,,
Marshall,West Virginia,20.77%,,
Creighton,Kansas St,54.17%,S,
Marshall,Wright St,54.17%,,
Marshall,Xavier,11.84%,,
Miami FL,Michigan,37.71%,,
Miami FL,Michigan St,37.71%,,
Miami FL,Missouri,58.29%,,
Miami FL,Montana,79.23%,,
Miami FL,Murray St,73.18%,,
Miami FL,NC Central,58.29%,,
Miami FL,NC State,62.29%,,
Miami FL,Nevada,54.17%,,
Miami FL,New Mexico St,73.18%,,
Miami FL,North Carolina,33.86%,,
Miami FL,Ohio St,45.83%,,
Miami FL,Oklahoma,66.14%,,
Miami FL,Penn,84.20%,,
Miami FL,Providence,66.14%,,
Miami FL,Purdue,33.86%,,
Miami FL,Radford,84.20%,,
Miami FL,Rhode Island,54.17%,,
Miami FL,S Dakota St,73.18%,,
Miami FL,San Diego St,69.78%,,
Miami FL,Seton Hall,58.29%,,
Miami FL,SF Austin,79.23%,,
Miami FL,St Bonaventure,69.78%,,
Miami FL,Syracuse,69.78%,,
Miami FL,TCU,50.00%,,
