WTeam,LTeam,Prob,Games,Incorrect
CS Fullerton,NC Central,13.33%,,
CS Fullerton,NC State,18.19%,,
CS Fullerton,Nevada,18.49%,,
CS Fullerton,New Mexico St,31.79%,,
CS Fullerton,North Carolina,8.12%,,
CS Fullerton,Ohio St,15.41%,,
CS Fullerton,Oklahoma,32.77%,,
CS Fullerton,Penn,56.12%,,
CS Fullerton,Providence,27.32%,,
CS Fullerton,Radford,44.40%,,
CS Fullerton,Rhode Island,15.57%,,
CS Fullerton,S Dakota St,37.68%,,
CS Fullerton,San Diego St,34.20%,,
CS Fullerton,Seton Hall,21.77%,,
CS Fullerton,SF Austin,38.83%,,
CS Fullerton,St Bonaventure,32.62%,,
CS Fullerton,Syracuse,24.95%,,
CS Fullerton,TCU,20.61%,,
CS Fullerton,Tennessee,12.46%,,
CS Fullerton,Texas,25.23%,,
CS Fullerton,Texas A&M,20.66%,,
CS Fullerton,Texas Tech,8.42%,,
CS Fullerton,TX Southern,65.44%,,
CS Fullerton,UCLA,8.89%,,
CS Fullerton,UMBC,60.46%,,
CS Fullerton,UNC Greensboro,34.51%,,
CS Fullerton,Villanova,5.33%,,
CS Fullerton,Virginia,5.32%,,
CS Fullerton,Virginia Tech,28.80%,,
CS Fullerton,West Virginia,9.88%,,
CS Fullerton,Wichita St,13.61%,,
CS Fullerton,Wright St,43.75%,,
CS Fullerton,Xavier,8.87%,,
Davidson,Duke,10.76%,,
Davidson,Florida,26.28%,,
Davidson,Florida St,30.76%,,
Davidson,Georgia St,61.46%,,
Davidson,Gonzaga,16.38%,,
Davidson,Houston,29.00%,,
Davidson,Iona,65.30%,,
Davidson,Kansas,12.78%,,
Davidson,Kansas St,29.01%,,
Davidson,Lipscomb,72.88%,,
Davidson,Long Island,22.46%,,
Davidson,Loyola-Chicago,41.74%,,
Davidson,Marshall,53.23%,,
Davidson,Miami FL,25.03%,,
Davidson,Michigan,18.61%,,
Davidson,Michigan St,23.86%,,
Davidson,Missouri,52.71%,,
Davidson,Montana,51.24%,,
Davidson,Murray St,43.78%,,
Davidson,NC Central,22.53%,,
Davidson,NC State,29.59%,,
Davidson,Nevada,30.01%,,
Davidson,New Mexico St,46.84%,,
Davidson,North Carolina,14.32%,,
Davidson,Ohio St,25.62%,,
Davidson,Oklahoma,47.95%,,
Davidson,Penn,70.74%,,
Davidson,Providence,41.54%,,
Davidson,Purdue,16.35%,,
Davidson,Radford,60.16%,,
Davidson,Rhode Island,25.86%,,
Davidson,S Dakota St,53.33%,,
Davidson,San Diego St,49.56%,,
Davidson,Seton Hall,34.47%,,
Davidson,SF Austin,54.55%,,
Davidson,St Bonaventure,47.79%,,
Davidson,Syracuse,38.60%,,
Davidson,TCU,32.92%,,
Davidson,Tennessee,21.20%,,
Davidson,Texas,38.95%,,
Davidson,Texas A&M,32.98%,,
Davidson,Texas Tech,14.81%,,
Davidson,TX Southern,78.17%,,
Davidson,UCLA,15.58%,,
Davidson,UMBC,74.29%,,
Davidson,UNC Greensboro,49.91%,,
Davidson,Villanova,9.62%,,
Davidson,Virginia,9.60%,,
Davidson,Virginia Tech,43.34%,,
Davidson,West Virginia,17.17%,,
Davidson,Wichita St,22.94%,,
Davidson,Wright St,59.52%,,
Davidson,Xavier,15.54%,,
Davidson,Kentucky,28.05%,,
Duke,Florida,74.73%,,
Duke,Florida St,78.66%,,
Duke,Georgia St,92.97%,,
Duke,Gonzaga,61.92%,,
Duke,Houston,77.21%,,
Duke,Kansas,54.87%,,
Duke,Kansas St,77.23%,,
Duke,Kentucky,76.39%,,
Duke,Lipscomb,95.00%,,
Duke,Long Island,70.62%,,
Duke,Loyola-Chicago,85.60%,,
Duke,Marshall,90.43%,,
Duke,Miami FL,73.47%,,
Duke,Michigan,65.48%,,
Duke,Michigan St,72.23%,,
Duke,Missouri,90.24%,,
Duke,Montana,89.71%,,
Duke,Murray St,86.60%,,
Duke,NC Central,70.70%,,
Duke,NC State,77.72%,,
Duke,Nevada,78.06%,,
Duke,New Mexico St,87.97%,,
Duke,North Carolina,58.10%,,
Duke,Ohio St,74.08%,,
Duke,Oklahoma,88.43%,,
Duke,Penn,95.00%,,
Duke,Providence,85.50%,,
Duke,Purdue,61.87%,,
Duke,Radford,92.61%,,
Duke,Rhode Island,74.32%,M,
Duke,S Dakota St,90.46%,,
Duke,San Diego St,89.08%,,
Duke,Seton Hall,81.36%,,
Duke,SF Austin,90.88%,,
Duke,St Bonaventure,88.37%,,
Duke,Syracuse,83.91%,,
Duke,TCU,80.28%,,
Duke,Tennessee,69.06%,,
Duke,Texas,84.11%,,
Duke,Texas A&M,80.33%,,
Duke,Texas Tech,59.07%,,
Duke,TX Southern,95.00%,,
Duke,UCLA,60.49%,,
Duke,UMBC,95.00%,,
Duke,UNC Greensboro,89.21%,,
Duke,Villanova,46.91%,,
Duke,Virginia,46.86%,,
Duke,Virginia Tech,86.39%,,
Duke,West Virginia,63.24%,,
Duke,Wichita St,71.19%,,
Duke,Wright St,92.43%,,
Duke,Xavier,60.43%,,
Duke,Iona,93.98%,,
Florida,St Bonaventure,71.97%,,
Florida,Florida St,55.48%,,
Florida,Georgia St,81.73%,,
Florida,Gonzaga,35.47%,,
Florida,Houston,53.40%,,
Florida,Iona,84.07%,,
Florida,Kansas,29.13%,,
Florida,Kansas St,53.42%,,
Florida,Kentucky,52.24%,,
Florida,Lipscomb,88.29%,,
Florida,Long Island,44.84%,,
Florida,Loyola-Chicago,66.78%,,
Florida,Marshall,76.15%,,
Florida,Miami FL,48.36%,,
Florida,Michigan,39.08%,,
Florida,Michigan St,46.79%,,
Florida,Missouri,75.77%,,
Florida,Montana,74.67%,,
Florida,Murray St,68.60%,,
Florida,NC Central,44.93%,,
Florida,NC State,54.11%,,
Florida,Nevada,54.61%,,
Florida,New Mexico St,71.20%,,
Florida,North Carolina,31.92%,,
Florida,Ohio St,49.15%,,
Florida,Oklahoma,72.10%,,
Florida,Penn,87.15%,,
Florida,Providence,66.59%,,
Florida,Purdue,35.42%,,
Florida,Radford,80.90%,,
Florida,Rhode Island,49.46%,,
Florida,S Dakota St,76.23%,,
Florida,San Diego St,73.38%,,
Florida,Seton Hall,59.61%,,
Florida,SF Austin,77.10%,,
Florida,Syracuse,63.82%,,
Florida,TCU,57.92%,,
Florida,Tennessee,43.01%,,
Florida,Texas,64.15%,,
Florida,Texas A&M,58.00%,,
Kansas,Seton Hall,78.22%,M,
Florida,TX Southern,90.95%,,
Florida,UCLA,34.11%,,
Florida,UMBC,89.02%,,
Florida,UNC Greensboro,73.65%,,
Florida,Villanova,23.00%,,
Florida,Virginia,22.96%,,
Florida,Virginia Tech,68.21%,,
Florida,West Virginia,36.77%,,
Florida,Wichita St,45.51%,,
Florida,Wright St,80.49%,,
Florida,Xavier,34.05%,,
Florida St,Georgia St,78.21%,,
Florida St,Gonzaga,30.61%,,
Florida St,Houston,47.90%,,
Florida St,Iona,80.90%,,
Florida St,Kansas,24.80%,,
Florida St,Kansas St,47.92%,,
Florida St,Kentucky,46.74%,,
Florida St,Lipscomb,85.81%,,
Florida St,Long Island,39.48%,,
Florida St,Loyola-Chicago,61.73%,,
Florida St,Marshall,71.93%,,
Florida St,Miami FL,42.91%,,
Florida St,Michigan,33.98%,,
Florida St,Michigan St,41.37%,,
Florida St,Montana,70.29%,,
Florida St,Murray St,63.68%,,
Florida St,NC Central,39.57%,,
Florida St,NC State,48.62%,,
Florida St,Nevada,49.12%,,
Florida St,New Mexico St,66.48%,,
Florida St,North Carolina,27.33%,,
Florida St,Ohio St,43.68%,,
Florida St,Oklahoma,67.47%,,
Florida St,Penn,84.48%,,
Florida St,Providence,61.53%,,
Florida St,Purdue,30.56%,,
Florida St,Radford,77.27%,,
Florida St,Rhode Island,43.98%,,
Florida St,S Dakota St,72.01%,,
Florida St,San Diego St,68.87%,,
Florida St,Seton Hall,54.22%,,
Florida St,SF Austin,72.99%,,
Florida St,St Bonaventure,67.33%,,
Florida St,Syracuse,58.60%,,
Florida St,TCU,52.49%,,
Florida St,Tennessee,37.71%,,
Florida St,Texas,58.95%,,
Florida St,Texas A&M,52.56%,,
Florida St,Texas Tech,28.14%,,
Florida St,TX Southern,88.96%,,
Florida St,UCLA,29.35%,,
Florida St,UMBC,86.68%,,
Florida St,UNC Greensboro,69.17%,,
Florida St,Villanova,19.34%,,
Florida St,Virginia,19.30%,,
Florida St,Virginia Tech,63.26%,,
Florida St,West Virginia,31.82%,,
Florida St,Wichita St,40.13%,,
Florida St,Wright St,76.80%,,
Michigan St,Syracuse,66.73%,M,X
Florida St,Missouri,71.51%,,
Georgia St,Gonzaga,10.94%,,
Georgia St,Houston,20.39%,,
Georgia St,Iona,54.13%,,
Georgia St,Kansas,8.42%,,
Georgia St,Kansas St,20.40%,,
Georgia St,Kentucky,19.65%,,
Georgia St,Lipscomb,62.76%,,
Georgia St,Long Island,15.38%,,
Georgia St,Loyola-Chicago,31.00%,,
Georgia St,Marshall,41.65%,,
Georgia St,Miami FL,17.31%,,
Georgia St,Michigan,12.54%,,
Georgia St,Michigan St,16.43%,,
Georgia St,Missouri,41.15%,,
Georgia St,Montana,39.73%,,
Georgia St,Murray St,32.81%,,
Georgia St,NC Central,15.43%,,
Georgia St,NC State,20.86%,,
Georgia St,Nevada,21.19%,,
Georgia St,New Mexico St,35.59%,,
Georgia St,North Carolina,9.49%,,
Georgia St,Ohio St,17.77%,,
Georgia St,Oklahoma,36.62%,,
Georgia St,Penn,60.26%,,
Georgia St,Providence,30.82%,,
Georgia St,Purdue,10.92%,,
Georgia St,Radford,48.64%,,
Georgia St,Rhode Island,17.95%,,
Georgia St,S Dakota St,41.75%,,
Georgia St,San Diego St,38.13%,,
Georgia St,Seton Hall,24.81%,,
Georgia St,SF Austin,42.95%,,
Georgia St,St Bonaventure,36.47%,,
Georgia St,Syracuse,28.28%,,
Georgia St,TCU,23.53%,,
Georgia St,Tennessee,14.43%,,
Georgia St,Texas,28.57%,,
Georgia St,Texas A&M,23.59%,,
Georgia St,Texas Tech,9.83%,,
Georgia St,TX Southern,69.19%,,
Georgia St,UCLA,10.37%,,
Georgia St,UMBC,64.45%,,
Georgia St,UNC Greensboro,38.46%,,
Georgia St,Villanova,6.26%,,
Georgia St,Virginia,6.25%,,
Georgia St,Virginia Tech,32.42%,,
Georgia St,West Virginia,11.51%,,
Georgia St,Wichita St,15.73%,,
Georgia St,Wright St,47.98%,,
Georgia St,Xavier,10.35%,,
Gonzaga,Houston,67.57%,,
Gonzaga,Iona,90.57%,,
Gonzaga,Kansas,42.78%,,
Gonzaga,Kansas St,67.59%,,
Gonzaga,Kentucky,66.55%,,
Gonzaga,Lipscomb,93.20%,,
Gonzaga,Long Island,59.65%,,
Gonzaga,Loyola-Chicago,78.52%,,
Gonzaga,Marshall,85.31%,,
Gonzaga,Miami FL,63.01%,,
Gonzaga,Michigan,53.85%,,
Gonzaga,Michigan St,61.53%,,
Gonzaga,Missouri,85.05%,,
Gonzaga,Montana,84.28%,,
Gonzaga,Murray St,79.89%,,
Gonzaga,NC Central,59.75%,,
Gonzaga,NC State,68.20%,,
Gonzaga,Nevada,68.63%,,
Gonzaga,New Mexico St,81.81%,,
Gonzaga,North Carolina,46.02%,,
Buffalo,Kentucky,22.34%,S,
Gonzaga,Oklahoma,82.46%,,
Gonzaga,Penn,92.50%,,
Gonzaga,Providence,78.38%,,
Gonzaga,Purdue,49.94%,,
Gonzaga,Radford,88.51%,,
Gonzaga,Rhode Island,64.03%,,
Gonzaga,S Dakota St,85.36%,,
Gonzaga,San Diego St,83.37%,,
Gonzaga,Seton Hall,72.86%,,
Gonzaga,SF Austin,85.96%,,
Gonzaga,St Bonaventure,82.37%,,
Gonzaga,Syracuse,76.24%,,
Gonzaga,TCU,71.46%,,
Gonzaga,Tennessee,57.85%,,
Gonzaga,Texas,76.50%,,
Gonzaga,Texas A&M,71.52%,,
Gonzaga,Texas Tech,47.02%,,
Gonzaga,TX Southern,94.81%,,
Gonzaga,UCLA,48.50%,,
Gonzaga,UMBC,93.65%,,
Gonzaga,Villanova,35.21%,,
Gonzaga,Virginia,35.16%,,
Gonzaga,Virginia Tech,79.60%,,
Gonzaga,West Virginia,51.41%,,
Gonzaga,Wichita St,60.31%,,
Gonzaga,Wright St,88.24%,,
Gonzaga,Xavier,48.43%,,
Gonzaga,UNC Greensboro,83.57%,,
Houston,Iona,82.17%,,
Houston,Kansas,26.40%,,
Houston,Kansas St,50.02%,,
Houston,Kentucky,48.84%,,
Houston,Lipscomb,86.81%,,
Houston,Long Island,41.50%,,
Houston,Loyola-Chicago,63.69%,,
Houston,Marshall,73.60%,,
Houston,Miami FL,44.98%,,
Cincinnati,Nevada,75.08%,S,X
Houston,Michigan St,43.42%,,
Houston,Missouri,73.19%,,
Houston,Montana,72.02%,,
Houston,Murray St,65.60%,,
Houston,NC Central,41.60%,,
Houston,NC State,50.72%,,
Houston,Nevada,51.22%,,
Houston,New Mexico St,68.33%,,
Houston,North Carolina,29.03%,,
Houston,Ohio St,45.75%,,
Houston,Oklahoma,69.29%,,
Houston,Penn,85.55%,,
Houston,Providence,63.50%,,
Houston,Purdue,32.37%,,
Houston,Radford,78.71%,,
Houston,Rhode Island,46.06%,,
Houston,S Dakota St,73.67%,,
Houston,Seton Hall,56.30%,,
Houston,SF Austin,74.61%,,
Houston,St Bonaventure,69.15%,,
Houston,Syracuse,60.62%,,
Houston,TCU,54.58%,,
Houston,Tennessee,39.71%,,
Houston,Texas,60.97%,,
Houston,Texas A&M,54.65%,,
Houston,Texas Tech,29.87%,,
Houston,TX Southern,89.76%,,
Houston,UCLA,31.12%,,
Houston,UMBC,87.62%,,
Houston,UNC Greensboro,70.93%,,
Houston,Villanova,20.68%,,
Houston,Virginia,20.65%,,
Houston,Virginia Tech,65.19%,,
Houston,West Virginia,33.67%,,
Houston,Wichita St,42.16%,,
Houston,Wright St,78.26%,,
Houston,Xavier,31.06%,,
Houston,San Diego St,70.64%,,
Iona,Kansas,7.23%,,
Iona,Kansas St,17.85%,,
Iona,Kentucky,17.17%,,
Iona,Lipscomb,58.82%,,
Iona,Long Island,13.35%,,
Iona,Loyola-Chicago,27.58%,,
Iona,Marshall,37.70%,,
Iona,Miami FL,15.07%,,
Iona,Michigan,10.84%,,
Iona,Michigan St,14.28%,,
Iona,Missouri,37.21%,,
Iona,Montana,35.84%,,
Iona,Murray St,29.28%,,
Iona,NC Central,13.39%,,
Iona,NC State,18.26%,,
Iona,Nevada,18.56%,,
Iona,New Mexico St,31.90%,,
Iona,North Carolina,8.16%,,
Iona,Ohio St,15.48%,,
Iona,Oklahoma,32.88%,,
Iona,Penn,56.24%,,
Iona,Providence,27.42%,,
Iona,Purdue,9.41%,,
Iona,Radford,44.53%,,
Iona,Rhode Island,15.64%,,
Iona,S Dakota St,37.80%,,
Iona,San Diego St,34.32%,,
Iona,Seton Hall,21.86%,,
Iona,SF Austin,38.95%,,
Iona,St Bonaventure,32.73%,,
Iona,Syracuse,25.05%,,
Iona,TCU,20.69%,,
Iona,Tennessee,12.51%,,
Iona,Texas,25.32%,,
Iona,Texas A&M,20.74%,,
Iona,Texas Tech,8.46%,,
Iona,TX Southern,65.56%,,
Iona,UCLA,8.93%,,
Iona,UMBC,60.58%,,
Iona,UNC Greensboro,34.63%,,
Iona,Villanova,5.36%,,
Iona,Virginia,5.35%,,
Iona,Virginia Tech,28.91%,,
Iona,West Virginia,9.93%,,
Iona,Wichita St,13.66%,,
Iona,Wright St,43.87%,,
Iona,Xavier,8.91%,,
Kansas,Penn,94.29%,,
Kansas,Kansas St,73.61%,,
Kansas,Kentucky,72.68%,,
Kansas,Lipscomb,94.83%,,
Kansas,Long Island,66.41%,,
Kansas,Loyola-Chicago,83.02%,,
Kansas,Marshall,88.60%,,
Kansas,Miami FL,69.50%,,
Kansas,Michigan,60.94%,,
Kansas,Michigan St,68.14%,,
Kansas,Missouri,88.38%,,
Kansas,Montana,87.76%,,
Kansas,Murray St,84.16%,,
Kansas,NC Central,66.50%,,
Kansas,NC State,74.15%,,
Kansas,Nevada,74.53%,,
Kansas,New Mexico St,85.74%,,
Kansas,North Carolina,53.28%,,
Kansas,Ohio St,70.16%,,
Kansas,Oklahoma,86.28%,,
Kansas,Providence,82.90%,,
Kansas,Purdue,57.16%,,
Kansas,Radford,91.15%,,
Kansas,Rhode Island,70.42%,,
Kansas,S Dakota St,88.64%,,
Kansas,San Diego St,87.02%,,
Kansas St,UMBC,87.61%,S,
Kansas,SF Austin,89.12%,,
Kansas,St Bonaventure,86.20%,,
Kansas,Syracuse,81.10%,,
Kansas,TCU,77.01%,,
Kansas,Tennessee,64.73%,,
Kansas,Texas,81.32%,,
Kansas,Texas A&M,77.06%,,
Kansas,Texas Tech,54.27%,,
Kansas,TX Southern,95.00%,,
Kansas,UCLA,55.74%,,
Kansas,UMBC,95.00%,,
Kansas,UNC Greensboro,87.18%,,
Kansas,Villanova,42.09%,,
Kansas,Virginia,42.04%,,
Kansas,Virginia Tech,83.92%,,
Kansas,West Virginia,58.59%,,
Kansas,Wichita St,67.02%,,
Kansas,Wright St,90.94%,,
Kansas,Xavier,55.67%,,
Kansas St,Kentucky,48.81%,,
Kansas St,Lipscomb,86.79%,,
Kansas St,Long Island,41.47%,,
Kansas St,Loyola-Chicago,63.67%,,
Kansas St,Marshall,73.57%,,
Kansas St,Miami FL,44.95%,,
Kansas St,Michigan,35.87%,,
Kansas St,Michigan St,43.39%,,
Kansas St,Missouri,73.17%,,
Kansas St,Montana,71.99%,,
Kansas St,Murray St,65.57%,,
Kansas St,NC Central,41.57%,,
Kansas St,NC State,50.69%,,
Kansas St,Nevada,51.19%,,
Kansas St,New Mexico St,68.31%,,
Kansas St,North Carolina,29.01%,,
Kansas St,Ohio St,45.73%,,
Kansas St,Oklahoma,69.26%,,
Kansas St,Penn,85.54%,,
Kansas St,Providence,63.48%,,
Kansas St,Purdue,32.35%,,
Kansas St,Radford,78.69%,,
Kansas St,Rhode Island,46.04%,,
Kansas St,S Dakota St,73.65%,,
Kansas St,San Diego St,70.62%,,
Kansas St,Seton Hall,56.27%,,
Kansas St,SF Austin,74.59%,,
Kansas St,St Bonaventure,69.12%,,
Kansas St,Syracuse,60.59%,,
Kansas St,TCU,54.55%,,
Kansas St,Tennessee,39.68%,,
Kansas St,Texas,60.94%,,
Kansas St,Texas A&M,54.62%,,
Kansas St,Texas Tech,29.84%,,
Kansas St,TX Southern,89.75%,,
Kansas St,UCLA,31.10%,,
Loyola-Chicago,Tennessee,27.29%,S,X
Kansas St,UNC Greensboro,70.91%,,
Kansas St,Villanova,20.66%,,
Kansas St,Virginia,20.63%,,
Kansas St,Virginia Tech,65.17%,,
Kansas St,West Virginia,33.65%,,
Kansas St,Wichita St,42.14%,,
Kansas St,Wright St,78.25%,,
Kansas St,Xavier,31.04%,,
Kentucky,Lipscomb,87.33%,,
Kentucky,Long Island,42.64%,,
Kentucky,Loyola-Chicago,64.76%,,
Kentucky,Marshall,74.49%,,
Kentucky,Miami FL,46.13%,,
Kentucky,Michigan,36.97%,,
Kentucky,Michigan St,44.57%,,
Kentucky,Missouri,74.09%,,
Kentucky,Montana,72.95%,,
Kentucky,Murray St,66.64%,,
Kentucky,NC Central,42.73%,,
Kentucky,NC State,51.89%,,
Kentucky,Nevada,52.38%,,
Kentucky,New Mexico St,69.33%,,
Kentucky,North Carolina,30.00%,,
Kentucky,Ohio St,46.91%,,
Kentucky,Oklahoma,70.27%,,
Kentucky,Penn,86.12%,,
Kentucky,Providence,64.57%,,
Kentucky,Purdue,33.40%,,
Kentucky,Radford,79.48%,,
Kentucky,Rhode Island,47.22%,,
Kentucky,S Dakota St,74.57%,,
Kentucky,San Diego St,71.60%,,
Kentucky,Seton Hall,57.44%,,
Kentucky,SF Austin,75.49%,,
Kentucky,St Bonaventure,70.13%,,
Kentucky,Syracuse,61.73%,,
Kentucky,TCU,55.73%,,
Kentucky,Tennessee,40.83%,,
Kentucky,Texas,62.07%,,
Kentucky,Texas A&M,55.80%,,
Kentucky,Texas Tech,30.85%,,
Kentucky,TX Southern,90.18%,,
Kentucky,UCLA,32.13%,,
Kentucky,UMBC,88.12%,,
Kentucky,UNC Greensboro,71.88%,,
Kentucky,Villanova,21.46%,,
Kentucky,Virginia,21.42%,,
Kentucky,Virginia Tech,66.24%,,
Kentucky,West Virginia,34.72%,,
Kentucky,Wichita St,43.30%,,
Kentucky,Wright St,79.05%,,
Kentucky,Xavier,32.07%,,
Lipscomb,Long Island,9.73%,,
Lipscomb,Loyola-Chicago,21.05%,,
Lipscomb,Marshall,29.76%,,
Lipscomb,Miami FL,11.05%,,
Lipscomb,Michigan,7.84%,,
Lipscomb,Michigan St,10.45%,,
Lipscomb,Missouri,29.32%,,
Lipscomb,Montana,28.12%,,
Lipscomb,Murray St,22.47%,,
Lipscomb,NC Central,9.77%,,
Lipscomb,NC State,13.53%,,
Lipscomb,Nevada,13.76%,,
Lipscomb,New Mexico St,24.70%,,
Lipscomb,Ohio St,11.36%,,
Lipscomb,Oklahoma,25.54%,,
Lipscomb,Penn,47.37%,,
Lipscomb,Providence,20.91%,,
Lipscomb,Purdue,6.78%,,
Lipscomb,Radford,35.98%,,
Lipscomb,Rhode Island,11.49%,,
Lipscomb,S Dakota St,29.84%,,
Lipscomb,San Diego St,26.78%,,
Lipscomb,Seton Hall,16.38%,,
Lipscomb,SF Austin,30.88%,,
Lipscomb,St Bonaventure,25.41%,,
Lipscomb,Syracuse,18.96%,,
Lipscomb,TCU,15.44%,,
Lipscomb,Tennessee,9.10%,,
Lipscomb,Texas,19.19%,,
Lipscomb,Texas A&M,15.48%,,
Lipscomb,Texas Tech,6.08%,,
Lipscomb,TX Southern,57.13%,,
Lipscomb,UCLA,6.43%,,
Lipscomb,UMBC,51.83%,,
Lipscomb,UNC Greensboro,27.05%,,
Lipscomb,Villanova,5.00%,,
Lipscomb,Virginia,5.00%,,
Lipscomb,Virginia Tech,22.16%,,
Lipscomb,West Virginia,7.16%,,
Lipscomb,Wichita St,9.98%,,
Lipscomb,Wright St,35.37%,,
Lipscomb,Xavier,6.41%,,
Lipscomb,North Carolina,5.86%,,
Long Island,Loyola-Chicago,71.21%,,
Long Island,Marshall,79.72%,,
Long Island,Miami FL,53.55%,,
Long Island,Michigan,44.12%,,
Long Island,Michigan St,51.97%,,
Long Island,Missouri,79.38%,,
Long Island,Montana,78.40%,,
Long Island,Murray St,72.89%,,
Long Island,NC Central,50.11%,,
Long Island,NC State,59.21%,,
Long Island,Nevada,59.69%,,
Long Island,New Mexico St,75.26%,,
Long Island,North Carolina,36.59%,,
Long Island,Ohio St,54.33%,,
Long Island,Oklahoma,76.08%,,
Long Island,Penn,89.30%,,
Long Island,Providence,71.04%,,
Long Island,Purdue,40.30%,,
Long Island,Radford,83.91%,,
Long Island,Rhode Island,54.63%,,
Long Island,S Dakota St,79.78%,,
Long Island,San Diego St,77.24%,,
Long Island,Seton Hall,64.50%,,
Long Island,SF Austin,80.56%,,
Long Island,St Bonaventure,75.96%,,
Long Island,Syracuse,68.46%,,
Long Island,TCU,62.89%,,
Long Island,Tennessee,48.15%,,
Long Island,Texas,68.78%,,
Long Island,Texas A&M,62.95%,,
Long Island,Texas Tech,37.52%,,
Long Island,TX Southern,92.52%,,
Long Island,UCLA,38.92%,,
Long Island,UMBC,90.89%,,
Long Island,UNC Greensboro,77.48%,,
Long Island,Villanova,26.88%,,
Long Island,Virginia,26.84%,,
Long Island,Virginia Tech,72.53%,,
Long Island,West Virginia,41.72%,,
Long Island,Wichita St,50.69%,,
Long Island,Wright St,83.55%,,
Long Island,Xavier,38.85%,,
Loyola-Chicago,Marshall,61.37%,,
Loyola-Chicago,Michigan,24.19%,,
Loyola-Chicago,Michigan St,30.43%,,
Loyola-Chicago,Missouri,60.87%,,
Loyola-Chicago,Montana,59.46%,,
Loyola-Chicago,Murray St,52.08%,,
Loyola-Chicago,NC Central,28.87%,,
Loyola-Chicago,NC State,36.97%,,
Loyola-Chicago,Nevada,37.44%,,
Loyola-Chicago,New Mexico St,55.15%,,
Loyola-Chicago,North Carolina,18.91%,,
Loyola-Chicago,Ohio St,32.46%,,
Loyola-Chicago,Oklahoma,56.25%,,
Loyola-Chicago,Penn,77.14%,,
Loyola-Chicago,Providence,49.79%,,
Loyola-Chicago,Purdue,21.43%,,
Loyola-Chicago,Radford,67.82%,,
Loyola-Chicago,Rhode Island,32.74%,,
Loyola-Chicago,S Dakota St,61.46%,,
Loyola-Chicago,San Diego St,57.83%,,
Loyola-Chicago,Seton Hall,42.34%,,
Loyola-Chicago,SF Austin,62.62%,,
Loyola-Chicago,St Bonaventure,56.09%,,
Loyola-Chicago,Syracuse,46.73%,,
Loyola-Chicago,TCU,40.64%,,
Florida St,Xavier,29.29%,W,X
Loyola-Chicago,Texas,47.10%,,
Loyola-Chicago,Texas A&M,40.72%,,
Loyola-Chicago,Texas Tech,19.53%,,
Loyola-Chicago,TX Southern,83.32%,,
Loyola-Chicago,UCLA,20.48%,,
Loyola-Chicago,UMBC,80.13%,,
Loyola-Chicago,UNC Greensboro,58.17%,,
Loyola-Chicago,Villanova,12.94%,,
Loyola-Chicago,Virginia,12.91%,,
Loyola-Chicago,Virginia Tech,51.63%,,
Loyola-Chicago,West Virginia,22.44%,,
Loyola-Chicago,Wichita St,29.35%,,
Loyola-Chicago,Wright St,67.24%,,
Loyola-Chicago,Xavier,20.43%,,
Loyola-Chicago,Miami FL,31.78%,,
Marshall,Wichita St,20.74%,,
Marshall,Miami FL,22.68%,,
Marshall,Michigan,16.73%,,
Marshall,Michigan St,21.59%,,
Marshall,Missouri,49.48%,,
Marshall,Montana,48.01%,,
Marshall,Murray St,40.63%,,
Marshall,NC Central,20.35%,,
Marshall,NC State,26.97%,,
Marshall,Nevada,27.36%,,
Marshall,New Mexico St,43.64%,,
Marshall,North Carolina,12.80%,,
Marshall,Ohio St,23.23%,,
Marshall,Oklahoma,44.74%,,
Marshall,Penn,67.99%,,
Marshall,Providence,38.43%,,
Marshall,Purdue,14.66%,,
Marshall,Radford,57.02%,,
Marshall,Rhode Island,23.46%,,
Marshall,S Dakota St,50.11%,,
Marshall,San Diego St,46.34%,,
Marshall,Seton Hall,31.61%,,
Marshall,SF Austin,51.33%,,
Marshall,St Bonaventure,44.57%,,
Marshall,Syracuse,35.58%,,
Marshall,TCU,30.13%,,
Marshall,Tennessee,19.12%,,
Marshall,Texas,35.92%,,
Marshall,Texas A&M,30.19%,,
Marshall,Texas Tech,13.26%,,
Marshall,TX Southern,75.88%,,
Marshall,UCLA,13.95%,,
Marshall,UMBC,71.75%,,
Marshall,UNC Greensboro,46.68%,,
Marshall,Villanova,8.56%,,
Marshall,Virginia,8.54%,,
Marshall,Virginia Tech,40.19%,,
Gonzaga,Ohio St,63.74%,W,
Marshall,Wright St,56.37%,,
Marshall,Xavier,13.92%,,
Miami FL,Michigan,40.65%,,
Miami FL,Michigan St,48.42%,,
Miami FL,Missouri,76.96%,,
Miami FL,Montana,75.90%,,
Miami FL,Murray St,70.00%,,
Miami FL,NC Central,46.56%,,
Miami FL,NC State,55.74%,,
Miami FL,Nevada,56.23%,,
Miami FL,New Mexico St,72.52%,,
Miami FL,North Carolina,33.36%,,
Miami FL,Ohio St,50.79%,,
Miami FL,Oklahoma,73.41%,,
Miami FL,Penn,87.87%,,
Miami FL,Providence,68.04%,,
Miami FL,Purdue,36.94%,,
Miami FL,Radford,81.90%,,
Miami FL,Rhode Island,51.10%,,
Miami FL,S Dakota St,77.40%,,
Miami FL,San Diego St,74.65%,,
Miami FL,Seton Hall,61.18%,,
Miami FL,SF Austin,78.24%,,
Miami FL,St Bonaventure,73.28%,,
Miami FL,Syracuse,65.32%,,
